Entity,Code,Year,Annual_CO2_emissions,Population,Continent,Emissions_per_Capita
Tuvalu,TUV,2010,10992.0,10550,Oceania,1.0418957345971565
Uganda,UGA,2010,3569619.0,32341728,Africa,0.1103719318893536
Ukraine,UKR,2010,294365800.0,45683020,Europe,6.443658934982845
United Arab Emirates,ARE,2010,184842300.0,8481771,Asia,21.792889716074626
United Kingdom,GBR,2010,511904580.0,62760039,Europe,8.156536996415824
United States,USA,2010,5679715300.0,311182845,North America,18.252019323237437
Uruguay,URY,2010,6297960.0,3352651,South America,1.8785015201403308
Uzbekistan,UZB,2010,107665944.0,28614227,Asia,3.7626717646435113
Vanuatu,VUT,2010,120912.0,245453,Oceania,0.49260754604751217
Venezuela,VEN,2010,189316720.0,28715022,South America,6.592950546929757
Vietnam,VNM,2010,139563840.0,87411012,Asia,1.5966391053795372
Wallis and Futuna,WLF,2010,29312.0,13142,Oceania,2.230406330847664
Yemen,YEM,2010,25713402.0,24743946,Asia,1.0391795229427028
Zambia,ZMB,2010,3120300.0,13792086,Africa,0.22623843847841435
Zimbabwe,ZWE,2010,8754012.0,12839771,Africa,0.6817887951428417
Afghanistan,AFG,2015,9791093.0,33753499,Asia,0.2900763858585446
Albania,ALB,2015,4712144.0,2882481,Europe,1.6347528396544504
Algeria,DZA,2015,160087460.0,39543154,Africa,4.048424159590305
Andorra,AND,2015,465328.0,71746,Europe,6.485769241490815
Angola,AGO,2015,26030358.0,28127721,Africa,0.9254343073155482
Anguilla,AIA,2015,139232.0,14525,North America,9.585679862306367
Antigua and Barbuda,ATG,2015,582576.0,89941,North America,6.477312905126694
Argentina,ARG,2015,191743840.0,43257065,South America,4.432659497356097
Armenia,ARM,2015,5469323.0,2878595,Asia,1.8999973945622777
Aruba,ABW,2015,897680.0,104257,North America,8.6102611815034
Australia,AUS,2015,401378370.0,23820236,Oceania,16.850310383154895
Austria,AUT,2015,66365640.0,8642421,Europe,7.679056597682524
Azerbaijan,AZE,2015,34682950.0,9863480,Asia,3.516299521061532
Bahamas,BHS,2015,2246032.0,392697,North America,5.7195038413840695
Bahrain,BHR,2015,32459652.0,1362142,Asia,23.829859148311996
Bangladesh,BGD,2015,73157550.0,157830000,Asia,0.46352119368941264
Barbados,BRB,2015,1686392.0,278083,North America,6.064347694753005
Belarus,BLR,2015,58798910.0,9700609,Europe,6.061362745369904
Belgium,BEL,2015,101145630.0,11248303,Europe,8.992079071838658
Belize,BLZ,2015,641200.0,359871,North America,1.7817495713741869
Benin,BEN,2015,5328876.0,10932783,Africa,0.4874217296730393
Bermuda,BMU,2015,538608.0,63144,North America,8.52983656404409
Bhutan,BTN,2015,1056506.0,743274,Asia,1.4214219789741065
Bolivia,BOL,2015,19886526.0,11090085,South America,1.7931806654322306
Bosnia and Herzegovina,BIH,2015,18460492.0,3524324,Europe,5.2380235188365205
Botswana,BWA,2015,5421209.0,2305171,Africa,2.35176002127391
Brazil,BRA,2015,529353020.0,205188205,South America,2.5798413705115264
British Virgin Islands,VGB,2015,227168.0,29366,North America,7.735748825171967
Brunei,BRN,2015,6933290.0,421437,Asia,16.45154554536028
Bulgaria,BGR,2015,48121012.0,7309253,Europe,6.583574545853044
Burkina Faso,BFA,2015,3714985.0,18718019,Africa,0.1984710561518289
Burundi,BDI,2015,355408.0,10727148,Africa,0.03313163946279104
Cambodia,KHM,2015,8365610.0,15417523,Asia,0.5426040227084468
Cameroon,CMR,2015,9850663.0,23012646,Africa,0.4280543402092919
Canada,CAN,2015,570680400.0,35732126,North America,15.971073201745678
Cape Verde,CPV,2015,490976.0,552166,Africa,0.8891818764646864
Central African Republic,CAF,2015,179536.0,4819333,Africa,0.03725328795499294
Chad,TCD,2015,2351698.0,14140274,Africa,0.16631205307619923
Chile,CHL,2015,81782160.0,17870124,South America,4.576474119597603
China,CHN,2015,9866952000.0,1393715448,Asia,7.079602952065435
Colombia,COL,2015,96774220.0,47119728,South America,2.0537941135823194
Comoros,COM,2015,179536.0,730216,Africa,0.2458669763467248
Congo,COG,2015,5633314.0,5064386,Africa,1.112338988378848
Cook Islands,COK,2015,80608.0,17695,Oceania,4.555411133088443
Costa Rica,CRI,2015,7406021.0,4895242,North America,1.5129019157786274
Cote d'Ivoire,CIV,2015,9554745.0,23596741,Africa,0.40491799270077167
Croatia,HRV,2015,17824704.0,4254815,Europe,4.189301767526908
Cuba,CUB,2015,29468648.0,11339894,North America,2.5986704990364107
Curacao,CUW,2015,7328000.0,169572,North America,43.21468166914349
Cyprus,CYP,2015,6971575.0,1187280,Europe,5.871887844484873
Czechia,CZE,2015,105022270.0,10523798,Europe,9.979502647238192
Democratic Republic of Congo,COD,2015,3276557.0,78656904,Africa,0.041656317924743134
Denmark,DNK,2015,35110572.0,5677796,Europe,6.183838235822492
Djibouti,DJI,2015,431641.0,1006259,Africa,0.4289561633734456
Dominica,DMA,2015,175872.0,70007,North America,2.5122059222649162
Dominican Republic,DOM,2015,23494588.0,10405832,North America,2.2578288790362944
East Timor,TLS,2015,589620.0,1205813,Asia,0.48898129311924815
Ecuador,ECU,2015,41275740.0,16195902,South America,2.5485298688520097
Egypt,EGY,2015,224479740.0,97723799,Africa,2.2970836408027897
El Salvador,SLV,2015,6667772.0,6231066,North America,1.0700852791480624
Equatorial Guinea,GNQ,2015,7033487.0,1346973,Africa,5.221698578961865
Eritrea,ERI,2015,554345.0,3340006,Africa,0.16597125873426574
Estonia,EST,2015,15823998.0,1314657,Europe,12.036598139286522
Eswatini,SWZ,2015,868368.0,1133936,Africa,0.7657998335003033
Ethiopia,ETH,2015,12696406.0,102471895,Africa,0.12390134875518795
Faroe Islands,FRO,2015,608224.0,48816,Europe,12.459521468371026
Fiji,FJI,2015,1319945.0,917200,Oceania,1.4391027038813782
