State,Fossil_GWh,Renewable_GWh,Total_GWh,Renewable_Percentage
NSW,48531.7,28314.6,76846.29999999999,36.84575574881289
VIC,33448.6,22823.299999999996,56271.899999999994,40.55896459867181
QLD,53401.700000000004,21388.3,74790.0,28.59780719347506
WA,36728.5,8851.9,45580.4,19.420408772191557
SA,3955.2,11410.599999999999,15365.8,74.25971963711618
TAS,514.8,9211.300000000001,9726.1,94.70702542642992
NT,4937.0,402.7,5339.7,7.541622188512463
