latitude,longitude,total_frp,avg_frp,max_frp,fire_count,avg_brightness,max_brightness,acq_datetime_min,acq_datetime_max,fire_intensity_score
-42.550000000000004,147.75,136.2,19.46,51.3,7,337.66,367.0,2019-09-26 04:27:00,2019-09-26 14:58:00,0.2
-42.5,146.70000000000002,20.0,5.0,10.0,4,320.98,337.1,2019-09-19 04:06:00,2019-09-19 04:21:00,0.0
-42.5,147.45000000000002,24.6,4.92,9.5,5,329.26,351.7,2019-09-03 15:29:00,2019-10-03 04:42:00,0.0
-42.5,147.6,6.3,1.58,4.5,4,305.9,329.9,2019-10-01 15:00:00,2019-10-05 04:06:00,0.0
-42.5,147.85,92.3,92.3,92.3,1,344.0,344.0,2019-09-22 23:45:00,2019-09-22 23:45:00,0.1
-42.5,147.9,389.1,25.94,251.2,15,314.99,376.4,2019-09-18 03:38:00,2019-09-23 14:14:00,0.4
-42.5,147.95000000000002,132.8,132.8,132.8,1,313.6,313.6,2019-09-18 01:05:00,2019-09-18 01:05:00,0.1
-42.45,146.95000000000002,5.1,5.1,5.1,1,345.9,345.9,2019-10-02 05:00:00,2019-10-02 05:00:00,0.0
-42.45,147.55,4.3,1.43,2.5,3,308.57,327.8,2019-10-03 14:24:00,2019-10-04 04:24:00,0.0
-42.400000000000006,146.55,4.4,4.4,4.4,1,339.6,339.6,2019-10-03 04:42:00,2019-10-03 04:42:00,0.0
-42.400000000000006,146.85,8.8,4.4,5.2,2,332.9,337.9,2019-10-12 05:12:00,2019-10-12 05:12:00,0.0
-42.400000000000006,146.95000000000002,4.6,4.6,4.6,1,335.8,335.8,2019-10-01 05:18:00,2019-10-01 05:18:00,0.0
-42.400000000000006,147.3,7.6,7.6,7.6,1,308.0,308.0,2019-09-05 04:09:00,2019-09-05 04:09:00,0.0
-42.400000000000006,147.4,22.4,7.47,17.2,3,334.9,339.6,2019-09-03 04:06:00,2019-10-12 03:30:00,0.0
-42.400000000000006,147.45000000000002,6.2,6.2,6.2,1,346.9,346.9,2019-10-01 03:36:00,2019-10-01 03:36:00,0.0
-42.400000000000006,147.5,3.9,3.9,3.9,1,301.9,301.9,2019-09-19 04:21:00,2019-09-19 04:21:00,0.0
-42.400000000000006,147.55,108.4,21.68,53.5,5,323.78,341.7,2019-09-18 03:38:00,2019-09-18 15:48:00,0.1
-42.400000000000006,147.6,0.8,0.8,0.8,1,295.9,295.9,2019-09-16 14:45:00,2019-09-16 14:45:00,0.0
-42.35,147.15,7.0,7.0,7.0,1,301.8,301.8,2019-09-17 00:21:00,2019-09-17 00:21:00,0.0
-42.35,147.4,12.7,6.35,9.2,2,326.7,342.6,2019-09-03 04:06:00,2019-09-03 04:21:00,0.0
-42.35,147.45000000000002,15.2,3.8,5.2,4,328.55,338.9,2019-09-19 04:06:00,2019-10-03 04:42:00,0.0
-42.35,147.5,67.0,11.17,48.5,6,330.12,351.6,2019-09-19 04:06:00,2019-09-21 14:52:00,0.1
-42.35,147.6,20.4,10.2,11.0,2,337.5,345.2,2019-09-18 04:25:00,2019-09-18 04:25:00,0.0
-42.35,147.70000000000002,1.9,1.9,1.9,1,329.8,329.8,2019-10-03 04:42:00,2019-10-03 04:42:00,0.0
-42.35,148.0,1.4,1.4,1.4,1,310.6,310.6,2019-10-13 14:36:00,2019-10-13 14:36:00,0.0
-42.300000000000004,147.0,3.6,3.6,3.6,1,339.3,339.3,2019-10-21 04:06:00,2019-10-21 04:06:00,0.0
-42.300000000000004,147.15,112.3,7.49,27.0,15,321.95,343.4,2019-09-03 04:06:00,2019-10-04 15:48:00,0.1
-42.300000000000004,147.20000000000002,30.4,7.6,13.0,4,349.45,367.0,2019-10-05 04:06:00,2019-10-29 04:54:00,0.0
-42.300000000000004,147.25,66.4,5.53,13.0,12,331.24,354.3,2019-09-03 15:29:00,2019-10-29 04:54:00,0.1
-42.300000000000004,147.3,19.1,19.1,19.1,1,342.0,342.0,2019-10-03 04:42:00,2019-10-03 04:42:00,0.0
-42.300000000000004,147.45000000000002,18.4,6.13,11.6,3,332.37,338.8,2019-09-17 04:43:00,2019-09-18 04:25:00,0.0
-42.300000000000004,147.55,21.4,4.28,7.7,5,330.44,343.6,2019-09-19 04:06:00,2019-09-19 04:21:00,0.0
-42.300000000000004,148.0,8.4,4.2,7.0,2,322.05,345.4,2019-10-12 03:30:00,2019-10-13 14:36:00,0.0
-42.25,146.75,16.5,8.25,9.1,2,353.1,353.9,2019-10-12 03:30:00,2019-10-12 03:30:00,0.0
-42.25,146.8,3.5,1.75,2.9,2,312.45,329.9,2019-10-01 15:00:00,2019-10-02 05:00:00,0.0
-42.25,147.1,1.8,1.8,1.8,1,327.1,327.1,2019-09-17 04:43:00,2019-09-17 04:43:00,0.0
-42.25,147.20000000000002,3.3,3.3,3.3,1,339.1,339.1,2019-10-21 04:06:00,2019-10-21 04:06:00,0.0
-42.25,147.25,2.7,2.7,2.7,1,330.3,330.3,2019-09-04 03:47:00,2019-09-04 03:47:00,0.0
-42.25,147.3,3.9,3.9,3.9,1,336.2,336.2,2019-10-01 03:36:00,2019-10-01 03:36:00,0.0
-42.2,145.95000000000002,47.0,5.22,11.9,9,330.02,347.5,2019-09-19 04:06:00,2019-09-19 04:21:00,0.1
-42.2,146.8,6.8,6.8,6.8,1,367.0,367.0,2019-10-02 05:00:00,2019-10-02 05:00:00,0.0
-42.2,146.85,0.6,0.6,0.6,1,301.8,301.8,2019-10-24 14:30:00,2019-10-24 14:30:00,0.0
-42.2,147.05,255.8,15.99,33.1,16,332.97,367.0,2019-10-31 14:00:00,2019-11-06 04:06:00,0.3
-42.2,147.65,7.7,7.7,7.7,1,339.9,339.9,2019-09-18 04:25:00,2019-09-18 04:25:00,0.0
-42.2,147.70000000000002,3.8,3.8,3.8,1,334.5,334.5,2019-09-26 03:34:00,2019-09-26 03:34:00,0.0
-42.150000000000006,146.5,29.0,9.67,11.6,3,341.03,355.6,2019-09-26 05:15:00,2019-09-26 05:15:00,0.0
-42.150000000000006,146.6,4.0,4.0,4.0,1,335.4,335.4,2019-10-03 04:42:00,2019-10-03 04:42:00,0.0
-42.150000000000006,147.0,4.9,2.45,3.0,2,314.95,333.3,2019-10-05 04:06:00,2019-10-31 14:00:00,0.0
-42.150000000000006,147.05,259.7,4.99,19.6,52,319.92,367.0,2019-10-29 14:36:00,2019-10-31 15:42:00,0.3
-42.150000000000006,147.20000000000002,1.8,1.8,1.8,1,326.5,326.5,2019-10-03 04:42:00,2019-10-03 04:42:00,0.0
-42.150000000000006,147.3,9.6,4.8,6.2,2,329.2,330.7,2019-09-18 04:25:00,2019-09-18 04:25:00,0.0
-42.150000000000006,147.35,23.5,23.5,23.5,1,330.8,330.8,2019-12-22 04:33:00,2019-12-22 04:33:00,0.0
-42.150000000000006,147.9,196.9,17.9,55.1,11,337.57,356.5,2019-12-08 04:00:00,2019-12-10 04:09:00,0.2
-42.150000000000006,147.95000000000002,3630.5,18.15,320.7,200,333.43,387.3,2019-12-04 03:36:00,2019-12-10 05:06:00,4.1
-42.150000000000006,148.0,2603.2,20.02,216.0,130,334.4,393.6,2019-12-04 15:00:00,2019-12-22 14:24:00,2.9
-42.1,147.9,63.0,5.73,22.1,11,322.53,356.6,2019-12-06 16:06:00,2019-12-17 04:36:00,0.1
-42.1,147.95000000000002,4276.9,12.58,370.9,340,327.45,367.0,2019-12-03 03:54:00,2019-12-22 14:24:00,4.8
-42.1,148.0,3905.2,31.49,567.3,124,330.51,410.9,2019-12-04 15:00:00,2019-12-08 15:24:00,4.4
-42.1,148.1,172.8,9.6,36.0,18,334.69,367.0,2019-09-04 03:47:00,2019-09-05 14:52:00,0.2
-42.0,146.8,162.5,10.83,42.7,15,330.86,367.0,2019-10-23 05:06:00,2019-10-25 04:30:00,0.2
-42.0,148.1,0.9,0.9,0.9,1,302.5,302.5,2019-09-04 15:10:00,2019-09-04 15:10:00,0.0
-41.95,146.8,1.5,1.5,1.5,1,297.3,297.3,2019-10-23 14:48:00,2019-10-23 14:48:00,0.0
-41.95,147.25,11.1,3.7,5.0,3,334.97,339.4,2019-09-10 03:34:00,2019-10-21 04:06:00,0.0
-41.95,147.6,30.4,2.17,6.1,14,309.16,336.9,2019-10-15 14:00:00,2019-10-30 14:18:00,0.0
